group,allocation_site,blocks,blocks_per_entry,dhat_allocated_bytes
Uniqueness point read,<slatedb::batch::WriteBatchIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},20480,1.00000,327680
Uniqueness point read,slatedb::mem_table::<impl slatedb::iter::RowEntryIterator for slatedb::mem_table::ouroboros_impl_mem_table_iterator_inner::MemTableIteratorInner<slatedb::mem_table::KVTableInternalKeyRange>>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20480,1.00000,327680
Uniqueness point read,slatedb::mem_table::<impl slatedb::iter::RowEntryIterator for slatedb::mem_table::ouroboros_impl_mem_table_iterator_inner::MemTableIteratorInner<slatedb::mem_table::KVTableInternalKeyRange>>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},20480,1.00000,327680
Transaction write batch,"alloc::collections::btree::map::entry::VacantEntry<K,V,A>::insert_entry > alloc::collections::btree::map::BTreeMap<K,V,A>::insert",3420,0.16699,4015200
Other preparation,"alloc::raw_vec::RawVecInner<A>::finish_grow > alloc::raw_vec::RawVec<T,A>::grow_one",460,0.02246,4640640
Other preparation,<alloc::string::String as core::clone::Clone>::clone > <moraine::store::proto::generated::DataFileValue as core::clone::Clone>::clone,420,0.02051,3305
Other preparation,alloc::raw_vec::RawVecInner<A>::finish_grow > alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_handle,260,0.01270,9600
In-batch duplicate tracking,"hashbrown::raw::RawTableInner::fallible_with_capacity > hashbrown::raw::RawTable<T,A>::reserve_rehash",200,0.00977,3358640
Other preparation,bytes::bytes::Bytes::copy_from_slice > slatedb::db_transaction::DbTransaction::put_with_options,200,0.00977,4107
Other preparation,moraine::transaction::commit::diff::diff_scoped > moraine::transaction::commit::attempt_group::{{closure}},160,0.00781,2560
Other preparation,"imbl::ord::map::GenericOrdMap<K,V,P>::diff > <core::iter::adapters::flatten::FlatMap<I,U,F> as core::iter::traits::iterator::Iterator>::next",146,0.00713,18368
Other preparation,slatedb::db_iter::DbIterator::new::{{closure}} > slatedb::reader::Reader::get_key_value_with_options::{{closure}},100,0.00488,5120
Other preparation,<futures_util::future::maybe_done::MaybeDone<Fut> as core::future::future::Future>::poll > <futures_util::future::poll_fn::PollFn<F> as core::future::future::Future>::poll,100,0.00488,1413760
Other preparation,moraine::store::frame::header_buf > moraine::store::value::encode_value,100,0.00488,3107
Other preparation,<slatedb::db_iter::GetIterator as slatedb::iter::RowEntryIterator>::next::{{closure}} > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},80,0.00391,2560
Other preparation,"imbl::ord::map::GenericOrdMap<K,V,P>::diff > moraine::transaction::commit::diff::diff_scoped",80,0.00391,1280
Other preparation,<alloc::string::String as core::clone::Clone>::clone > moraine::transaction::verbs::Transaction::live_table,60,0.00293,1020
Other preparation,"<alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter > moraine::transaction::commit::diff::diff_scoped",60,0.00293,2560
Other preparation,bytes::bytes::Bytes::copy_from_slice > slatedb::db_transaction::DbTransaction::get::{{closure}},40,0.00195,80
Other preparation,bytes::bytes::Bytes::copy_from_slice > slatedb::reader::Reader::get_key_value_with_options::{{closure}},40,0.00195,80
