chunks,rows_per_chunk,step_entries,value_bytes,source_bytes,peak_heap_bytes,retained_heap_bytes,total_allocated_bytes,total_ms
16,128,128,1024,2109888,3219535,2670452,21913799,152.649
128,128,128,1024,16879104,22601001,21106857,164812501,1090.825
128,128,16,1024,16879104,24002590,22636277,340150481,3356.593
16,1024,128,1024,16848320,23471853,21089483,160351574,1044.495
