group,allocation_site,blocks,blocks_per_entry,dhat_allocated_bytes
Other preparation,<futures_util::stream::futures_unordered::FuturesUnordered<Fut> as futures_core::stream::Stream>::poll_next > <core::future::poll_fn::PollFn<F> as core::future::future::Future>::poll,160,0.00781,327680
Other preparation,<T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem > <futures_util::stream::futures_unordered::FuturesUnordered<Fut> as futures_core::stream::Stream>::poll_next,160,0.00781,655360
Transactional scan setup,slatedb::batch::WriteBatchIterator::new > slatedb::db_transaction::DbTransaction::scan_inner::{{closure}},160,0.00781,5120
Transactional scan setup,"alloc::raw_vec::RawVecInner<A>::finish_grow > alloc::raw_vec::RawVec<T,A>::grow_one",160,0.00781,5120
Transactional scan setup,"<alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter > slatedb::reader::Reader::build_iterator_sources::{{closure}}",160,0.00781,2560
Transactional scan setup,slatedb::mem_table::KVTable::range > core::ops::function::impls::<impl core::ops::function::FnMut<A> for &mut F>::call_mut,160,0.00781,1280
Transactional scan setup,"core::ops::function::impls::<impl core::ops::function::FnMut<A> for &mut F>::call_mut > <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter",160,0.00781,46080
Transactional scan setup,"<alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter > slatedb::segment_iterator::build_segment_iter",160,0.00781,7680
Transactional scan setup,slatedb::segment_iterator::build_segment_iter > slatedb::reader::Reader::build_iterator_sources::{{closure}},160,0.00781,49920
Transactional scan setup,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > slatedb::db_iter::DbIterator::new::{{closure}},160,0.00781,5120
Transactional scan setup,<slatedb::merge_operator::MergeOperatorRequiredIterator<T> as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},160,0.00781,5120
Transactional scan setup,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > <slatedb::merge_operator::MergeOperatorRequiredIterator<T> as slatedb::iter::RowEntryIterator>::init::{{closure}},160,0.00781,5120
Transactional scan setup,<slatedb::db_iter::ScanIterator as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},160,0.00781,5120
Transactional scan setup,<slatedb::db_iter::ScanIterator as slatedb::iter::RowEntryIterator>::init::{{closure}} > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},160,0.00781,5120
Transactional scan setup,<slatedb::batch::WriteBatchIterator as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},160,0.00781,2560
Transactional scan setup,<slatedb::batch::WriteBatchIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},160,0.00781,2560
Transactional scan setup,slatedb::mem_table::<impl slatedb::iter::RowEntryIterator for slatedb::mem_table::ouroboros_impl_mem_table_iterator_inner::MemTableIteratorInner<slatedb::mem_table::KVTableInternalKeyRange>>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},160,0.00781,2560
Transactional scan setup,slatedb::mem_table::<impl slatedb::iter::RowEntryIterator for slatedb::mem_table::ouroboros_impl_mem_table_iterator_inner::MemTableIteratorInner<slatedb::mem_table::KVTableInternalKeyRange>>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},160,0.00781,2560
Transactional scan setup,<slatedb::segment_iterator::SegmentMergeIterator as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},160,0.00781,2560
Transactional scan setup,<slatedb::segment_iterator::SegmentMergeIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},160,0.00781,248320
Transactional scan setup,<slatedb::segment_iterator::SegmentMergeIterator as slatedb::iter::RowEntryIterator>::next::{{closure}} > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},160,0.00781,5120
Other preparation,<slatedb::db_iter::ScanIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},160,0.00781,5120
Other preparation,<slatedb::db_iter::ScanIterator as slatedb::iter::RowEntryIterator>::next::{{closure}} > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},160,0.00781,5120
Other preparation,<slatedb::merge_iterator::MergeIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},160,0.00781,92160
Other preparation,"alloc::vec::in_place_collect::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter > <futures_util::stream::futures_unordered::FuturesUnordered<Fut> as futures_core::stream::Stream>::poll_next",160,0.00781,2457600
Other preparation,moraine::transaction::commit::diff::diff_scoped > moraine::transaction::commit::attempt_group::{{closure}},160,0.00781,2560
Other preparation,"imbl::ord::map::GenericOrdMap<K,V,P>::diff > <core::iter::adapters::flatten::FlatMap<I,U,F> as core::iter::traits::iterator::Iterator>::next",146,0.00713,18368
Other preparation,slatedb::db_iter::DbIterator::new::{{closure}} > slatedb::reader::Reader::get_key_value_with_options::{{closure}},100,0.00488,5120
Other preparation,moraine::store::frame::header_buf > moraine::store::value::encode_value,100,0.00488,3107
